assessment_id,PM01,PM02,PM03,PM04,PM05,AUTH01,AUTH02,AUTH03,AUTH04,AUTH05,PHISH01,PHISH02,PHISH03,PHISH04,PHISH05,SOC01,SOC02,SOC03,SOC04,SOC05,password_length,has_uppercase,has_lowercase,has_number,has_symbol,common_pattern_detected,repeated_characters,estimated_entropy,password_score,strength_label,PM_category_score,AUTH_category_score,PHISH_category_score,SOC_category_score,behaviour_score,overall_risk_score,risk_probability,risk_level,is_synthetic
1,0,4,4,2,0,4,1,0,0,1,3,2,4,0,3,0,3,3,4,0,9,True,True,True,False,False,False,53.6,100.0,Strong,10.0,31.2,61.2,40.0,34.1,20.5,0.205,Low,True
2,4,0,0,1,0,0,4,0,4,0,2,3,0,0,1,2,2,3,2,0,9,True,True,False,False,False,False,51.3,95.5,Strong,80.0,100.0,53.8,37.5,69.9,43.7,0.437,Moderate,True
3,1,3,4,3,0,4,3,0,0,2,1,1,0,0,2,1,2,3,3,0,13,False,True,True,False,False,False,67.2,100.0,Strong,15.0,37.5,45.0,36.2,32.4,19.4,0.194,Low,True
4,1,2,0,2,0,4,2,4,0,2,2,4,0,0,1,2,1,3,1,4,8,True,True,True,True,False,False,52.4,100.0,Strong,48.8,17.5,60.0,42.5,42.5,25.5,0.255,Low,True
5,3,1,0,1,4,0,3,0,0,0,1,4,4,0,1,4,4,2,4,4,7,False,True,True,True,False,True,29.8,39.7,Weak,85.0,75.0,91.2,90.0,85.1,75.2,0.752,High,True
6,4,2,0,0,4,0,4,0,4,0,0,4,0,0,0,4,3,1,3,4,4,False,True,True,False,True,True,3.6,0.0,Weak,92.5,100.0,75.0,85.0,88.5,93.1,0.931,High,True
7,3,1,0,2,4,4,4,4,4,2,2,1,0,0,3,2,3,1,4,4,5,True,True,True,False,False,False,29.8,49.7,Moderate,80.0,47.5,36.2,77.5,60.4,56.4,0.564,Moderate,True
8,0,2,4,2,0,0,3,0,4,4,0,4,0,4,0,3,3,2,3,0,6,False,True,True,True,True,False,9.1,0.0,Weak,17.5,80.0,60.0,58.8,52.0,71.2,0.712,High,True
9,2,3,4,4,4,4,4,0,4,0,1,3,4,0,3,1,0,2,2,4,13,True,True,True,False,False,False,77.4,100.0,Strong,31.2,70.0,80.0,41.2,55.1,33.1,0.331,Low,True
10,3,0,0,1,4,4,4,0,4,1,1,4,4,0,2,4,4,0,2,4,7,False,True,False,False,True,False,8.2,0.0,Weak,88.8,66.2,88.8,90.0,83.4,90.0,0.9,High,True
11,3,2,4,1,0,0,3,0,4,1,3,1,0,0,3,3,3,2,2,4,7,False,True,True,False,True,False,9.0,0.0,Weak,41.2,91.2,30.0,68.8,56.4,73.8,0.738,High,True
12,4,2,4,3,4,4,1,4,0,2,2,2,4,4,3,2,1,4,0,0,9,True,True,True,False,False,False,53.6,100.0,Strong,52.5,12.5,52.5,17.5,35.5,21.3,0.213,Low,True
13,2,1,0,2,4,4,4,0,0,2,1,4,4,4,2,2,2,2,1,0,7,False,True,True,False,False,False,36.2,55.3,Moderate,73.8,42.5,73.8,37.5,58.7,53.1,0.531,Moderate,True
14,0,2,0,2,0,4,2,0,0,4,4,0,0,0,3,3,3,3,1,4,11,True,True,False,False,False,False,62.7,100.0,Strong,42.5,25.0,17.5,58.8,35.1,21.1,0.211,Low,True
15,1,3,0,3,0,0,2,0,4,3,1,2,4,0,2,3,4,0,3,4,10,False,True,False,False,False,False,47.0,83.3,Strong,40.0,78.8,76.2,88.8,68.5,47.8,0.478,Moderate,True
16,4,0,0,1,4,4,1,0,4,2,2,3,4,0,2,4,2,1,3,4,10,True,True,False,True,False,False,63.9,100.0,Strong,95.0,47.5,76.2,80.0,75.4,45.2,0.452,Moderate,True
17,4,0,0,0,4,0,2,4,4,2,2,3,0,4,1,2,2,2,1,0,4,False,True,False,False,False,False,18.8,21.3,Weak,100.0,67.5,38.8,37.5,64.1,69.9,0.699,Moderate,True
18,3,2,4,2,4,4,3,0,4,1,1,4,0,0,1,3,3,3,4,4,10,True,True,True,False,False,True,41.7,74.5,Strong,51.2,61.2,66.2,73.8,62.0,47.4,0.474,Moderate,True
19,2,3,0,2,4,0,3,0,4,2,2,3,4,0,3,3,2,0,2,4,8,True,True,True,False,False,False,47.6,94.3,Strong,66.2,87.5,73.8,73.8,74.9,47.2,0.472,Moderate,True
